launch_angle,exit_velocity,hit_distance_sc,spray_angle,game_type,is_hit
25.0,98.8,364.0,0.16705648852167337,RS,0
32.0,92.3,350.0,-17.871458914259254,RS,0
16.0,88.2,236.0,2.1550966609714997,RS,1
42.0,105.3,345.0,-11.394152414934224,RS,0
11.0,76.6,138.0,9.778992437267215,RS,0
12.0,100.0,202.0,15.49088055146586,RS,1
60.0,98.0,213.0,-27.192777355930296,RS,0
47.0,96.0,296.0,9.02009444300733,RS,0
-63.0,72.3,1.0,15.019823710863019,RS,0
-28.0,75.6,5.0,0.8612750145611561,RS,0
9.0,86.2,124.0,-21.511221823449155,RS,1
15.0,95.6,227.0,-27.39153045237844,RS,1
-5.0,81.1,21.0,-29.265795299391627,RS,0
8.0,108.6,140.0,10.438996608516907,RS,1
55.0,93.8,218.0,9.404171412126761,RS,0
14.0,87.1,190.0,15.90663002719436,RS,1
12.0,102.6,252.0,-20.869330256399603,RS,1
0.0,67.0,36.0,18.484267371712114,RS,0
19.0,105.9,359.0,-5.7734736678042715,RS,0
22.0,89.0,275.0,29.98623548418363,RS,0
48.0,89.3,279.0,-29.919168498360122,RS,0
20.0,103.8,361.0,-16.864570232641977,RS,0
20.0,78.8,236.0,-3.926208033475167,RS,1
22.0,105.3,346.0,31.04089787396835,RS,1
10.0,102.8,192.0,35.36106868442394,RS,1
9.0,103.6,159.0,10.924649695045005,RS,1
10.0,102.4,200.0,-11.376627398018412,RS,1
-14.0,97.9,11.0,-8.140175507043136,RS,0
27.0,104.3,409.0,-26.911826906104842,RS,1
24.0,93.0,345.0,-2.7787153203316866,RS,0
-29.0,77.8,4.0,18.839133405677565,RS,0
-30.0,91.8,4.0,35.14627119336309,RS,0
42.0,100.8,354.0,21.045338231960034,RS,0
21.0,84.3,290.0,23.671672091268427,RS,0
-35.0,59.9,2.0,-21.013027639651636,RS,1
-6.0,91.2,23.0,-19.76734748097563,RS,0
21.0,86.9,279.0,21.616197245027205,RS,0
33.0,88.0,312.0,-20.310966699862743,RS,0
5.0,93.3,85.0,17.725828202160187,RS,1
49.0,104.7,314.0,-16.30929328091382,RS,0
36.0,87.9,300.0,-21.955635331878085,RS,0
20.0,107.7,373.0,-19.18294610267926,RS,1
18.0,75.6,199.0,-19.453207768481526,RS,1
23.0,98.7,354.0,20.377817568566446,RS,1
-57.0,66.3,1.0,-20.409758651060827,RS,1
-10.0,88.4,10.0,32.06929384458627,RS,0
-3.0,97.3,33.0,-13.456366433644723,RS,0
2.0,93.3,75.0,21.48138486682725,RS,0
-36.0,90.1,3.0,16.842272528422335,RS,0
27.0,100.5,376.0,18.951385208026505,RS,1
-7.0,95.3,14.0,32.8829566965634,RS,0
12.0,96.8,213.0,19.00014494053236,RS,1
16.0,105.1,268.0,-27.11458332803206,RS,1
60.0,97.1,220.0,10.404930200657338,RS,0
